corpus,cid,param,beta,k
xling,callfriend-spa-s-callfriend-spa-s-4414.parquet,Intercept,-0.45213877377675266,73389
xling,callfriend-spa-s-callfriend-spa-s-4414.parquet,self,-0.1713754516602293,73389
xling,callfriend-spa-s-callfriend-spa-s-4414.parquet,other,-0.06322514162845984,73389
xling,callfriend-spa-s-callfriend-spa-s-4414.parquet,turn_delta,0.014271113246842151,73389
xling,callhome-spa-callhome-spa-1292.parquet,nx,0.1533113734418391,15663
xling,callhome-spa-callhome-spa-1292.parquet,Intercept,-0.42495568869640654,15663
xling,callhome-spa-callhome-spa-1292.parquet,self,-0.10090902916179512,15663
xling,callhome-spa-callhome-spa-1292.parquet,other,-0.09817096454341083,15663
xling,callhome-spa-callhome-spa-1292.parquet,turn_delta,0.009119472095085058,15663
callhome,callhome-5713.parquet,nx,0.15646262729177526,21865
callhome,callhome-5713.parquet,Intercept,-0.32169183538417745,21865
callhome,callhome-5713.parquet,self,-0.1728067498643066,21865
callhome,callhome-5713.parquet,other,-0.10440989882852225,21865
callhome,callhome-5713.parquet,turn_delta,0.012604015576540192,21865
callhome,callhome-6658.parquet,nx,0.15275991214617637,97891
callhome,callhome-6658.parquet,Intercept,-0.3910176424304522,97891
callhome,callhome-6658.parquet,self,-0.020710629054005367,97891
callhome,callhome-6658.parquet,other,-0.01936149610356536,97891
callhome,callhome-6658.parquet,turn_delta,0.006644828848539386,97891
xling,croation-cro-croation-cro-2014_23.parquet,nx,0.15521705847571698,55702
xling,croation-cro-croation-cro-2014_23.parquet,Intercept,-0.4360232265555444,55702
xling,croation-cro-croation-cro-2014_23.parquet,self,-0.04409438528352974,55702
xling,croation-cro-croation-cro-2014_23.parquet,other,-0.04109717899442915,55702
xling,croation-cro-croation-cro-2014_23.parquet,turn_delta,0.008089869969907992,55702
xling,croation-cro-croation-cro-2014_22_1.parquet,nx,0.15288473634496327,26599
xling,croation-cro-croation-cro-2014_22_1.parquet,Intercept,-0.4206965601274789,26599
xling,croation-cro-croation-cro-2014_22_1.parquet,self,-0.048596412796029616,26599
xling,croation-cro-croation-cro-2014_22_1.parquet,other,-0.050484340419483936,26599
xling,croation-cro-croation-cro-2014_22_1.parquet,turn_delta,0.00541573243677646,26599
xling,callhome-zho-callhome-zho-1352.parquet,nx,0.10820422135865686,40768
xling,callhome-zho-callhome-zho-1352.parquet,Intercept,-0.30187843933977765,40768
xling,callhome-zho-callhome-zho-1352.parquet,self,-0.10248414433748483,40768
xling,callhome-zho-callhome-zho-1352.parquet,other,-0.02390902625001101,40768
xling,callhome-zho-callhome-zho-1352.parquet,turn_delta,0.0012658775775506279,40768
xling,callfriend-spa-s-callfriend-spa-s-4106.parquet,nx,0.1565196849060811,109050
xling,callfriend-spa-s-callfriend-spa-s-4106.parquet,Intercept,-0.47787190776861505,109050
xling,callfriend-spa-s-callfriend-spa-s-4106.parquet,self,-0.015011509641521247,109050
xling,callfriend-spa-s-callfriend-spa-s-4106.parquet,other,0.016970491027229525,109050
xling,callfriend-spa-s-callfriend-spa-s-4106.parquet,turn_delta,0.0035082803307518624,109050
xling,callhome-zho-callhome-zho-0860.parquet,nx,0.10752762939065263,32399
xling,callhome-zho-callhome-zho-0860.parquet,Intercept,-0.28790504231024666,32399
xling,callhome-zho-callhome-zho-0860.parquet,self,-0.14925860048766532,32399
xling,callhome-zho-callhome-zho-0860.parquet,other,-0.11026577138656043,32399
xling,callhome-zho-callhome-zho-0860.parquet,turn_delta,0.0059212906305558775,32399
xling,callhome-zho-callhome-zho-0003.parquet,nx,0.12094440757861083,15684
xling,callhome-zho-callhome-zho-0003.parquet,Intercept,-0.43480640027775846,15684
xling,callhome-zho-callhome-zho-0003.parquet,self,-0.04467180489160625,15684
xling,callhome-zho-callhome-zho-0003.parquet,other,-0.005772258986997125,15684
xling,callhome-zho-callhome-zho-0003.parquet,turn_delta,0.013911488459448638,15684
xling,callhome-spa-callhome-spa-2144.parquet,nx,0.15860764430978833,22633
xling,callhome-spa-callhome-spa-2144.parquet,Intercept,-0.46138560457457484,22633
xling,callhome-spa-callhome-spa-2144.parquet,self,-0.14299272073178107,22633
xling,callhome-spa-callhome-spa-2144.parquet,other,-0.09788275577231839,22633
xling,callhome-spa-callhome-spa-2144.parquet,turn_delta,0.018223799674994205,22633
xling,yiddish-yid-yiddish-05.parquet,nx,0.12164602842499181,35
xling,yiddish-yid-yiddish-05.parquet,Intercept,8.111570708892506,35
xling,yiddish-yid-yiddish-05.parquet,self,-17.62094444286984,35
xling,yiddish-yid-yiddish-05.parquet,other,-16.296050323001708,35
xling,yiddish-yid-yiddish-05.parquet,turn_delta,2.9924717060926564,35
xling,callhome-zho-callhome-zho-0768.parquet,nx,0.12031066741641422,31883
xling,callhome-zho-callhome-zho-0768.parquet,Intercept,-0.43418022047507115,31883
xling,callhome-zho-callhome-zho-0768.parquet,self,-0.035959285893249524,31883
xling,callhome-zho-callhome-zho-0768.parquet,other,0.0050310738344959615,31883
xling,callhome-zho-callhome-zho-0768.parquet,turn_delta,0.005099897927817592,31883
callhome,callhome-4577.parquet,nx,0.14646984150617112,13143
callhome,callhome-4577.parquet,Intercept,-0.3057942046801082,13143
callhome,callhome-4577.parquet,self,-0.08678200723061158,13143
callhome,callhome-4577.parquet,other,-0.0787811343823473,13143
callhome,callhome-4577.parquet,turn_delta,0.01040744208932766,13143
xling,callfriend-ko-callfriend-ko-6334.parquet,nx,0.14058730036894335,36667
xling,callfriend-ko-callfriend-ko-6334.parquet,Intercept,-0.2605732942805471,36667
xling,callfriend-ko-callfriend-ko-6334.parquet,self,-0.047950108789581884,36667
xling,callfriend-ko-callfriend-ko-6334.parquet,other,-0.04058949899870251,36667
xling,callfriend-ko-callfriend-ko-6334.parquet,turn_delta,0.004567768465472504,36667
xling,callfriend-ko-callfriend-ko-6568.parquet,nx,0.1533982938070074,45521
xling,callfriend-ko-callfriend-ko-6568.parquet,Intercept,-0.36352001117881216,45521
xling,callfriend-ko-callfriend-ko-6568.parquet,self,-0.06336587727795918,45521
xling,callfriend-ko-callfriend-ko-6568.parquet,other,0.0015941192085283207,45521
xling,callfriend-ko-callfriend-ko-6568.parquet,turn_delta,0.0021087411241321645,45521
xling,callfriend-spa-s-callfriend-spa-s-2034.parquet,nx,0.1559153013474706,89002
xling,callfriend-spa-s-callfriend-spa-s-2034.parquet,Intercept,-0.4588800939602935,89002
xling,callfriend-spa-s-callfriend-spa-s-2034.parquet,self,-0.09899701838629023,89002
xling,callfriend-spa-s-callfriend-spa-s-2034.parquet,other,0.14177684623946452,89002
xling,callfriend-spa-s-callfriend-spa-s-2034.parquet,turn_delta,0.004097392290751408,89002
xling,finchat-fin-finchat-fin-26.parquet,nx,0.15286929734051424,643
xling,finchat-fin-finchat-fin-26.parquet,Intercept,-0.0880641199581436,643
xling,finchat-fin-finchat-fin-26.parquet,self,-0.6600093939861832,643
xling,finchat-fin-finchat-fin-26.parquet,other,-0.5751303437084733,643
xling,finchat-fin-finchat-fin-26.parquet,turn_delta,0.09014038414444102,643
xling,callfriend-zho-callfriend-zho-1191.parquet,nx,0.10953519788800786,33054
xling,callfriend-zho-callfriend-zho-1191.parquet,Intercept,-0.44905988183235307,33054
xling,callfriend-zho-callfriend-zho-1191.parquet,self,-0.02259899776521724,33054
xling,callfriend-zho-callfriend-zho-1191.parquet,other,0.0,33054
xling,callfriend-zho-callfriend-zho-1191.parquet,turn_delta,0.007547322956169464,33054
xling,callfriend-ko-callfriend-ko-5040.parquet,nx,0.15222919420384232,34434
xling,callfriend-ko-callfriend-ko-5040.parquet,Intercept,-0.3186273273596891,34434
xling,callfriend-ko-callfriend-ko-5040.parquet,self,-0.1932748217592987,34434
xling,callfriend-ko-callfriend-ko-5040.parquet,other,-0.1591485211627772,34434
xling,callfriend-ko-callfriend-ko-5040.parquet,turn_delta,0.009979142157168126,34434
xling,callhome-deu-callhome-deu-5223.parquet,nx,0.1760947558646361,25988
xling,callhome-deu-callhome-deu-5223.parquet,Intercept,-0.5438244832232045,25988
xling,callhome-deu-callhome-deu-5223.parquet,self,-0.0036703803459511024,25988
xling,callhome-deu-callhome-deu-5223.parquet,other,0.033200946055655614,25988
xling,callhome-deu-callhome-deu-5223.parquet,turn_delta,0.001484060406584218,25988
xling,callfriend-spa-s-callfriend-spa-s-6781.parquet,nx,0.14656468238028558,43114
xling,callfriend-spa-s-callfriend-spa-s-6781.parquet,Intercept,-0.38381102479695617,43114
xling,callfriend-spa-s-callfriend-spa-s-6781.parquet,self,-0.08622774497505335,43114
xling,callfriend-spa-s-callfriend-spa-s-6781.parquet,other,-0.016883804983887852,43114
xling,callfriend-spa-s-callfriend-spa-s-6781.parquet,turn_delta,0.005085273419872973,43114
xling,callhome-spa-callhome-spa-1261.parquet,nx,0.1411707926025856,20689
xling,callhome-spa-callhome-spa-1261.parquet,Intercept,-0.28734073779134817,20689
xling,callhome-spa-callhome-spa-1261.parquet,self,-0.1838249903638358,20689
xling,callhome-spa-callhome-spa-1261.parquet,other,-0.0045496767928295346,20689
xling,callhome-spa-callhome-spa-1261.parquet,turn_delta,0.001623477310465564,20689
callhome,callhome-6100.parquet,nx,0.15394586865878035,38377
callhome,callhome-6100.parquet,Intercept,-0.38668076800515566,38377
callhome,callhome-6100.parquet,self,-0.03602354589411904,38377
callhome,callhome-6100.parquet,other,-0.02208476481785504,38377
callhome,callhome-6100.parquet,turn_delta,0.007505456455391111,38377
xling,croation-cro-croation-cro-2015_46.parquet,nx,0.15304933454103994,45514
xling,croation-cro-croation-cro-2015_46.parquet,Intercept,-0.4437286882295089,45514
xling,croation-cro-croation-cro-2015_46.parquet,self,-0.036118188991703035,45514
xling,croation-cro-croation-cro-2015_46.parquet,other,-0.02465796926736444,45514
xling,croation-cro-croation-cro-2015_46.parquet,turn_delta,0.003143578597238068,45514
xling,croation-cro-croation-cro-2014_29_1.parquet,nx,0.15466387021179454,8199
xling,croation-cro-croation-cro-2014_29_1.parquet,Intercept,-0.4220690280272313,8199
xling,croation-cro-croation-cro-2014_29_1.parquet,self,-0.11945612355289298,8199
xling,croation-cro-croation-cro-2014_29_1.parquet,other,0.07376170400394211,8199
xling,croation-cro-croation-cro-2014_29_1.parquet,turn_delta,0.007108275215514285,8199
xling,croation-cro-croation-cro-2015_22.parquet,nx,0.15607742633369437,41299
xling,croation-cro-croation-cro-2015_22.parquet,Intercept,-0.4464602235450321,41299
xling,croation-cro-croation-cro-2015_22.parquet,self,-0.11968486034532508,41299
xling,croation-cro-croation-cro-2015_22.parquet,other,0.017344704332563726,41299
xling,croation-cro-croation-cro-2015_22.parquet,turn_delta,0.00899870213745954,41299
xling,finchat-fin-finchat-fin-30.parquet,nx,0.13839730498271804,1159
xling,finchat-fin-finchat-fin-30.parquet,Intercept,0.004785961634056961,1159
xling,finchat-fin-finchat-fin-30.parquet,self,-0.3598469918078324,1159
xling,finchat-fin-finchat-fin-30.parquet,other,-0.3442628361976946,1159
xling,finchat-fin-finchat-fin-30.parquet,turn_delta,0.022026941148649608,1159
callfriend,eng_n-callfriend-eng_n-4889.parquet,nx,0.15103252614687043,144355
callfriend,eng_n-callfriend-eng_n-4889.parquet,Intercept,-0.3840841357911445,144355
callfriend,eng_n-callfriend-eng_n-4889.parquet,self,-0.07054689130521646,144355
callfriend,eng_n-callfriend-eng_n-4889.parquet,other,-0.03244044541813029,144355
callfriend,eng_n-callfriend-eng_n-4889.parquet,turn_delta,0.007683404427733395,144355
xling,croation-cro-croation-cro-2014_32.parquet,nx,0.15887227801979953,61740
xling,croation-cro-croation-cro-2014_32.parquet,Intercept,-0.4794997534727011,61740
xling,croation-cro-croation-cro-2014_32.parquet,self,-0.03356050362752994,61740
xling,croation-cro-croation-cro-2014_32.parquet,other,-0.01289799087045302,61740
xling,croation-cro-croation-cro-2014_32.parquet,turn_delta,0.0026048484172718554,61740
xling,croation-cro-croation-cro-2011_59.parquet,nx,0.15399431397716626,28075
xling,croation-cro-croation-cro-2011_59.parquet,Intercept,-0.41652468723405756,28075
xling,croation-cro-croation-cro-2011_59.parquet,self,-0.1320793147584512,28075
xling,croation-cro-croation-cro-2011_59.parquet,other,-0.1287500901033326,28075
xling,croation-cro-croation-cro-2011_59.parquet,turn_delta,0.013308285758618513,28075
xling,callfriend-fra-q-callfriend-fra-q-5380.parquet,nx,0.16506071312025594,55615
xling,callfriend-fra-q-callfriend-fra-q-5380.parquet,Intercept,-0.5016777337184196,55615
xling,callfriend-fra-q-callfriend-fra-q-5380.parquet,self,-0.07606496902482916,55615
xling,callfriend-fra-q-callfriend-fra-q-5380.parquet,other,0.0,55615
xling,callfriend-fra-q-callfriend-fra-q-5380.parquet,turn_delta,0.006712929144798542,55615
xling,croation-cro-croation-cro-2015_48.parquet,nx,0.15982446487672983,59837
xling,croation-cro-croation-cro-2015_48.parquet,Intercept,-0.49081920190521955,59837
xling,croation-cro-croation-cro-2015_48.parquet,self,-0.03796229659715365,59837
xling,croation-cro-croation-cro-2015_48.parquet,other,-0.0034398754600839083,59837
xling,croation-cro-croation-cro-2015_48.parquet,turn_delta,0.0042404746315810714,59837
xling,croation-cro-croation-cro-2015_11_1.parquet,nx,0.14368750095043115,21778
xling,croation-cro-croation-cro-2015_11_1.parquet,Intercept,-0.383737904404731,21778
xling,croation-cro-croation-cro-2015_11_1.parquet,self,-0.09851296408892088,21778
xling,croation-cro-croation-cro-2015_11_1.parquet,other,-0.05176732731197306,21778
xling,croation-cro-croation-cro-2015_11_1.parquet,turn_delta,0.00805324589502478,21778
xling,callhome-spa-callhome-spa-2057.parquet,nx,0.14838890487916065,19788
xling,callhome-spa-callhome-spa-2057.parquet,Intercept,-0.4027902815025826,19788
xling,callhome-spa-callhome-spa-2057.parquet,self,-0.09634600951139802,19788
xling,callhome-spa-callhome-spa-2057.parquet,other,-0.0406174961470207,19788
xling,callhome-spa-callhome-spa-2057.parquet,turn_delta,0.0018518175333230695,19788
xling,callfriend-zho-callfriend-zho-5916.parquet,nx,0.10563299976018413,74636
xling,callfriend-zho-callfriend-zho-5916.parquet,Intercept,-0.4126015543532312,74636
xling,callfriend-zho-callfriend-zho-5916.parquet,self,-0.030905779057711316,74636
xling,callfriend-zho-callfriend-zho-5916.parquet,other,0.0,74636
xling,callfriend-zho-callfriend-zho-5916.parquet,turn_delta,0.013110244035101047,74636
callfriend,eng_n-callfriend-eng_n-6379.parquet,nx,0.1508794425499597,5562
callfriend,eng_n-callfriend-eng_n-6379.parquet,Intercept,-0.35717661844712423,5562
callfriend,eng_n-callfriend-eng_n-6379.parquet,self,-0.17617519056048653,5562
callfriend,eng_n-callfriend-eng_n-6379.parquet,other,-0.16027814798719683,5562
callfriend,eng_n-callfriend-eng_n-6379.parquet,turn_delta,0.0178252803819171,5562
